49，178	52,181

67, 178	71,181x

30, 178	32.6, 180

46,202	46.34, 206.5

46, 222	46.53, 225.5

62, 214	64.2, 221

82,216	82.7, 222

97,216	99, 224

92,197	94, 204

92, 187	95.03, 191

107, 193	108.3, 200

122,193	123.1,200

107,182	108.7, 191.04

92,181	94.03, 191.7

72,187	75.6, 193.1

62,187	65.9, 193.54
52,187	56, 193
42,187	46.8, 193
32,187	32.2, 192.3
22,187	21.59, 191.09
22,202	20.53,203.1
32,202	31.9,203.06
42,202	40,205.74
52,202	49.01,206.59
62,202	62.49,207.35
72,202	72.47,208.44
62,221	58.4,227.08
52,221	48.05,226.14
42,221	40.6,225
32,220	26.8,223.9
22,220	17.4,222.59
22,238	11.6,238.41
32,238	20.02,237.9（*)
42,238 31,238（*)
22,232	25,234.6
32,231	32,234
42,231	42,235.18
52,231	51.64,234.9
62,231	63.01,234.98
67,231	67.62,235.31
72,231	73.08,235.3
75,231	78.23,236.74
82,232	82.41,236.83
87,232	87.7,237.26
92,232	94.29,236
107,233	108.95,239.04
112,233	114.609,241.66
100,217	103.07,223.6
97,218	100.26,224.67
92,218	95.6,224.31
87,218	88.79,224.40
82,218	83.616,224.60
77,218	78.21,222.89
72,217	75.27,224.339
67,217	69.65,224.9
62,217	63.44,222.91
57,217	58.8,222.75
52,217	54.67,224.95
47,217	48.1,223.39
42,217	45.22,222.8
37,217	37.1,222.08
32,217	32.24,222.41
27,217	27.32,223.17
23,213	21.1,218.62
22,200	21.67,201.38
27,200	25.41,201
32,200	31.55,202.38
37,200	34.8,202
42,200	40.75,205.20
47,200	44.8,206.5
52,200	48.78,206



